dataset,model,split,fold,class,num_preds,num_gts,precision,recall,f1-score,mAP@50,mAP@50_95
Coastline,Classification,train,0,all,20677,22438,0.971764087677002,0.926637470722198,0.948067426681519,0.958196889734431,0.749655587480721
Coastline,Classification,train,0,boat,3937,3934,1.0,1.0,1.0,1.0,0.899814660271351
Coastline,Classification,train,0,swimmer,16740,18504,0.943528175354004,0.853274941444397,0.896134853363037,0.916393779468862,0.599496514690091
Coastline,Classification,train,1,all,8790,22186,0.863049924373627,0.571804136037827,0.635396644473076,0.718977798528637,0.372915776847098
Coastline,Classification,train,1,boat,3978,4026,0.958227872848511,0.94013911485672,0.949097335338592,0.958951786589148,0.558556220868387
Coastline,Classification,train,1,swimmer,4812,18160,0.767871975898743,0.203469157218933,0.321695953607559,0.479003810468125,0.187275332825809
Coastline,Classification,train,2,all,19904,22105,0.981829851865768,0.924190133810043,0.951213330030441,0.959310355975274,0.803604781992401
Coastline,Classification,train,2,boat,3531,3532,1.0,0.998867511749268,0.99943345785141,0.999433274791016,0.932745927456512
Coastline,Classification,train,2,swimmer,16373,18573,0.963659703731537,0.849512755870819,0.902993202209473,0.919187437159531,0.67446363652829
Coastline,Classification,train,3,all,18260,18560,0.965386211872101,0.947946846485138,0.956505417823792,0.969760948870191,0.7037227402774
Coastline,Classification,train,3,boat,3556,3532,1.0,0.999433755874634,0.999716818332672,0.99971480786698,0.844389699267435
Coastline,Classification,train,3,swimmer,14704,15028,0.930772423744202,0.896459937095642,0.913294017314911,0.939807089873403,0.563055781287366
Coastline,Classification,train,4,all,6928,6811,0.954129040241241,0.929992884397507,0.941905856132507,0.96253274889806,0.68026259544688
Coastline,Classification,train,4,boat,596,586,0.994755268096924,0.970989763736725,0.982728898525238,0.992517547388204,0.865186485073542
Coastline,Classification,train,4,swimmer,6332,6225,0.913502812385559,0.888996005058289,0.901082813739777,0.932547950407917,0.495338705820218
Coastline,Classification,train,5,all,13227,15528,0.935185670852661,0.764053910970688,0.839821010828018,0.866704739564865,0.549542098652151
Coastline,Classification,train,5,boat,3448,3934,0.966067314147949,0.84672087430954,0.902465403079987,0.917095233670354,0.606639356669596
Coastline,Classification,train,5,swimmer,9779,11594,0.904304027557373,0.681386947631836,0.77717661857605,0.816314245459377,0.492444840634706
Coastline,Classification,val,0,all,1800,2349,0.302494794130325,0.193398311734199,0.235945925116539,0.256508580703186,0.0879508828786455
Coastline,Classification,val,0,boat,343,92,0.0,0.0,0.0,0.0,0.0
Coastline,Classification,val,0,swimmer,1457,2257,0.604989588260651,0.386796623468399,0.471891850233078,0.513017161406372,0.175901765757291
Coastline,Classification,val,1,all,767,890,0.479702293872833,0.796629190444946,0.870472609996796,0.889441876733983,0.381276612515372
Coastline,Classification,val,1,boat,27,0,0.0,,,,
Coastline,Classification,val,1,swimmer,740,890,0.959404587745666,0.796629190444946,0.870472609996796,0.889441876733983,0.381276612515372
Coastline,Classification,val,2,all,1819,2601,0.332481533288956,0.450211465358734,0.536909639835358,0.561266207833605,0.175154232604664
Coastline,Classification,val,2,boat,37,0,0.0,,,,
Coastline,Classification,val,2,swimmer,1782,2601,0.664963066577911,0.450211465358734,0.536909639835358,0.561266207833605,0.175154232604664
Coastline,Classification,val,3,all,681,971,0.845265597105026,0.391352422535419,0.463422551751137,0.595114580782606,0.294804766900433
Coastline,Classification,val,3,boat,77,494,1.0,0.155870452523232,0.269702285528183,0.577935226261616,0.424087453256003
Coastline,Classification,val,3,swimmer,604,477,0.690531194210053,0.626834392547607,0.657142817974091,0.612293935303597,0.165522080544863
Coastline,Classification,val,4,all,3496,11066,0.617886178195477,0.0600703163072466,0.0868300404399633,0.322865461147169,0.204600058127744
Coastline,Classification,val,4,boat,47,3440,1.0,0.0136627908796072,0.026957269757986,0.506831395439804,0.353650161415811
Coastline,Classification,val,4,swimmer,3449,7626,0.235772356390953,0.106477841734886,0.146702811121941,0.138899526854534,0.055549954839677
Coastline,Classification,val,5,all,8273,12720,0.79822850227356,0.59649783372879,0.676036506891251,0.701756823298947,0.342782057369371
Coastline,Classification,val,5,boat,2988,3440,0.949799180030823,0.824999988079071,0.883011817932129,0.901516527233305,0.531219775729073
Coastline,Classification,val,5,swimmer,5285,9280,0.646657824516296,0.36799567937851,0.469061195850372,0.501997119364589,0.154344339009669
Coastline,Classification,test,0,all,908,890,0.297460705041885,0.552809000015259,0.573092639446259,0.523461135092508,0.180553164105096
Coastline,Classification,test,0,boat,21,0,0.0,,,,
Coastline,Classification,test,0,swimmer,887,890,0.594921410083771,0.552809000015259,0.573092639446259,0.523461135092508,0.180553164105096
Coastline,Classification,test,1,all,1432,2601,0.678651690483093,0.348327577114105,0.460365891456604,0.514703404930231,0.161136343554925
Coastline,Classification,test,1,boat,0,0,,,,,
Coastline,Classification,test,1,swimmer,1432,2601,0.678651690483093,0.348327577114105,0.460365891456604,0.514703404930231,0.161136343554925
Coastline,Classification,test,2,all,586,971,0.739071428775787,0.421835616230965,0.53393942117691,0.541026665093862,0.296260955323591
Coastline,Classification,test,2,boat,250,494,0.995999991893768,0.504048585891724,0.669354856014252,0.75070040363001,0.515706834472946
Coastline,Classification,test,2,swimmer,336,477,0.482142865657806,0.339622646570206,0.398523986339569,0.331352926557714,0.0768150761742372
Coastline,Classification,test,3,all,3106,11066,0.569310247898102,0.0427611088380218,0.0647817719727755,0.295750453488299,0.1899975563125
Coastline,Classification,test,3,boat,49,3440,0.959183692932129,0.0136627908796072,0.026941817253828,0.486545633631964,0.33947997060613
Coastline,Classification,test,3,swimmer,3057,7626,0.179436802864075,0.0718594267964363,0.102621726691723,0.104955273344634,0.0405151420188696
Coastline,Classification,test,4,all,5660,12720,0.604450777173042,0.0880813924595713,0.11475667078048,0.321767384652094,0.192121267557715
Coastline,Classification,test,4,boat,50,3440,0.939999997615814,0.0136627908796072,0.0269340965896844,0.476709077416395,0.332613511965823
Coastline,Classification,test,4,swimmer,5610,9280,0.26890155673027,0.162499994039535,0.202579244971275,0.166825691887792,0.051629023149606
Coastline,Classification,test,5,all,1556,2349,0.27337321639061,0.161940634250641,0.203394547104835,0.21760543886796,0.0645699507287013
Coastline,Classification,test,5,boat,203,92,0.0,0.0,0.0,0.0,0.0
Coastline,Classification,test,5,swimmer,1353,2257,0.54674643278122,0.323881268501282,0.406789094209671,0.43521087773592,0.129139901457403
Coastline,Coastline,train,0,all,20677,22438,0.971764087677002,0.926637470722198,0.948067426681519,0.958196889734431,0.749655587480721
Coastline,Coastline,train,0,boat,3937,3934,1.0,1.0,1.0,1.0,0.899814660271351
Coastline,Coastline,train,0,swimmer,16740,18504,0.943528175354004,0.853274941444397,0.896134853363037,0.916393779468862,0.599496514690091
Coastline,Coastline,train,1,all,8790,22186,0.863049924373627,0.571804136037827,0.635396644473076,0.718977798528637,0.372915776847098
Coastline,Coastline,train,1,boat,3978,4026,0.958227872848511,0.94013911485672,0.949097335338592,0.958951786589148,0.558556220868387
Coastline,Coastline,train,1,swimmer,4812,18160,0.767871975898743,0.203469157218933,0.321695953607559,0.479003810468125,0.187275332825809
Coastline,Coastline,train,2,all,19904,22105,0.981829851865768,0.924190133810043,0.951213330030441,0.959310355975274,0.803604781992401
Coastline,Coastline,train,2,boat,3531,3532,1.0,0.998867511749268,0.99943345785141,0.999433274791016,0.932745927456512
Coastline,Coastline,train,2,swimmer,16373,18573,0.963659703731537,0.849512755870819,0.902993202209473,0.919187437159531,0.67446363652829
Coastline,Coastline,train,3,all,18260,18560,0.965386211872101,0.947946846485138,0.956505417823792,0.969760948870191,0.7037227402774
Coastline,Coastline,train,3,boat,3556,3532,1.0,0.999433755874634,0.999716818332672,0.99971480786698,0.844389699267435
Coastline,Coastline,train,3,swimmer,14704,15028,0.930772423744202,0.896459937095642,0.913294017314911,0.939807089873403,0.563055781287366
Coastline,Coastline,train,4,all,6928,6811,0.954129040241241,0.929992884397507,0.941905856132507,0.96253274889806,0.68026259544688
Coastline,Coastline,train,4,boat,596,586,0.994755268096924,0.970989763736725,0.982728898525238,0.992517547388204,0.865186485073542
Coastline,Coastline,train,4,swimmer,6332,6225,0.913502812385559,0.888996005058289,0.901082813739777,0.932547950407917,0.495338705820218
Coastline,Coastline,train,5,all,13227,15528,0.935185670852661,0.764053910970688,0.839821010828018,0.866704739564865,0.549542098652151
Coastline,Coastline,train,5,boat,3448,3934,0.966067314147949,0.84672087430954,0.902465403079987,0.917095233670354,0.606639356669596
Coastline,Coastline,train,5,swimmer,9779,11594,0.904304027557373,0.681386947631836,0.77717661857605,0.816314245459377,0.492444840634706
Coastline,Coastline,val,0,all,1800,2349,0.302494794130325,0.193398311734199,0.235945925116539,0.256508580703186,0.0879508828786455
Coastline,Coastline,val,0,boat,343,92,0.0,0.0,0.0,0.0,0.0
Coastline,Coastline,val,0,swimmer,1457,2257,0.604989588260651,0.386796623468399,0.471891850233078,0.513017161406372,0.175901765757291
Coastline,Coastline,val,1,all,767,890,0.479702293872833,0.796629190444946,0.870472609996796,0.889441876733983,0.381276612515372
Coastline,Coastline,val,1,boat,27,0,0.0,,,,
Coastline,Coastline,val,1,swimmer,740,890,0.959404587745666,0.796629190444946,0.870472609996796,0.889441876733983,0.381276612515372
Coastline,Coastline,val,2,all,1819,2601,0.332481533288956,0.450211465358734,0.536909639835358,0.561266207833605,0.175154232604664
Coastline,Coastline,val,2,boat,37,0,0.0,,,,
Coastline,Coastline,val,2,swimmer,1782,2601,0.664963066577911,0.450211465358734,0.536909639835358,0.561266207833605,0.175154232604664
Coastline,Coastline,val,3,all,681,971,0.845265597105026,0.391352422535419,0.463422551751137,0.595114580782606,0.294804766900433
Coastline,Coastline,val,3,boat,77,494,1.0,0.155870452523232,0.269702285528183,0.577935226261616,0.424087453256003
Coastline,Coastline,val,3,swimmer,604,477,0.690531194210053,0.626834392547607,0.657142817974091,0.612293935303597,0.165522080544863
Coastline,Coastline,val,4,all,3496,11066,0.617886178195477,0.0600703163072466,0.0868300404399633,0.322865461147169,0.204600058127744
Coastline,Coastline,val,4,boat,47,3440,1.0,0.0136627908796072,0.026957269757986,0.506831395439804,0.353650161415811
Coastline,Coastline,val,4,swimmer,3449,7626,0.235772356390953,0.106477841734886,0.146702811121941,0.138899526854534,0.055549954839677
Coastline,Coastline,val,5,all,8273,12720,0.79822850227356,0.59649783372879,0.676036506891251,0.701756823298947,0.342782057369371
Coastline,Coastline,val,5,boat,2988,3440,0.949799180030823,0.824999988079071,0.883011817932129,0.901516527233305,0.531219775729073
Coastline,Coastline,val,5,swimmer,5285,9280,0.646657824516296,0.36799567937851,0.469061195850372,0.501997119364589,0.154344339009669
Coastline,Coastline,test,0,all,908,890,0.297460705041885,0.552809000015259,0.573092639446259,0.523461135092508,0.180553164105096
Coastline,Coastline,test,0,boat,21,0,0.0,,,,
Coastline,Coastline,test,0,swimmer,887,890,0.594921410083771,0.552809000015259,0.573092639446259,0.523461135092508,0.180553164105096
Coastline,Coastline,test,1,all,1432,2601,0.678651690483093,0.348327577114105,0.460365891456604,0.514703404930231,0.161136343554925
Coastline,Coastline,test,1,boat,0,0,,,,,
Coastline,Coastline,test,1,swimmer,1432,2601,0.678651690483093,0.348327577114105,0.460365891456604,0.514703404930231,0.161136343554925
Coastline,Coastline,test,2,all,586,971,0.739071428775787,0.421835616230965,0.53393942117691,0.541026665093862,0.296260955323591
Coastline,Coastline,test,2,boat,250,494,0.995999991893768,0.504048585891724,0.669354856014252,0.75070040363001,0.515706834472946
Coastline,Coastline,test,2,swimmer,336,477,0.482142865657806,0.339622646570206,0.398523986339569,0.331352926557714,0.0768150761742372
Coastline,Coastline,test,3,all,3106,11066,0.569310247898102,0.0427611088380218,0.0647817719727755,0.295750453488299,0.1899975563125
Coastline,Coastline,test,3,boat,49,3440,0.959183692932129,0.0136627908796072,0.026941817253828,0.486545633631964,0.33947997060613
Coastline,Coastline,test,3,swimmer,3057,7626,0.179436802864075,0.0718594267964363,0.102621726691723,0.104955273344634,0.0405151420188696
Coastline,Coastline,test,4,all,5660,12720,0.604450777173042,0.0880813924595713,0.11475667078048,0.321767384652094,0.192121267557715
Coastline,Coastline,test,4,boat,50,3440,0.939999997615814,0.0136627908796072,0.0269340965896844,0.476709077416395,0.332613511965823
Coastline,Coastline,test,4,swimmer,5610,9280,0.26890155673027,0.162499994039535,0.202579244971275,0.166825691887792,0.051629023149606
Coastline,Coastline,test,5,all,1556,2349,0.27337321639061,0.161940634250641,0.203394547104835,0.21760543886796,0.0645699507287013
Coastline,Coastline,test,5,boat,203,92,0.0,0.0,0.0,0.0,0.0
Coastline,Coastline,test,5,swimmer,1353,2257,0.54674643278122,0.323881268501282,0.406789094209671,0.43521087773592,0.129139901457403
Coastline,CoastlineV2Big,test,0,all,776,890,0.9055627584457396,0.7865168452262878,0.841852068901062,0.8549054746174081,0.351979120266482
Coastline,CoastlineV2Big,test,0,boat,0,0,,,,,
Coastline,CoastlineV2Big,test,0,swimmer,776,890,0.9055627584457396,0.7865168452262878,0.841852068901062,0.8549054746174081,0.351979120266482
Coastline,CoastlineV2Big,test,1,all,906,2601,0.4628190994262695,0.3206458985805511,0.4762992560863495,0.6277208740871858,0.2422149963822567
Coastline,CoastlineV2Big,test,1,boat,3,0,0.0,,,,
Coastline,CoastlineV2Big,test,1,swimmer,903,2601,0.9256381988525392,0.3206458985805511,0.4762992560863495,0.6277208740871858,0.2422149963822567
Coastline,CoastlineV2Big,test,2,all,535,971,0.7037112712860107,0.3479786738753319,0.4379586577415466,0.5152807907024227,0.2915536269268356
Coastline,CoastlineV2Big,test,2,boat,122,494,0.7213114500045776,0.1781376451253891,0.2857142686843872,0.4284066929612354,0.3215646505914756
Coastline,CoastlineV2Big,test,2,swimmer,413,477,0.6861110925674438,0.5178197026252747,0.590203046798706,0.6021548884436101,0.2615426032621956
Coastline,CoastlineV2Big,test,3,all,8412,11066,0.6423623710870743,0.5425400137901306,0.5732069164514542,0.5858742453559401,0.3201095421051439
Coastline,CoastlineV2Big,test,3,boat,5251,3440,0.9704753756523132,0.9555232524871826,0.9629412293434144,0.9946002733792944,0.5931937770251497
Coastline,CoastlineV2Big,test,3,swimmer,3161,7626,0.3142493665218353,0.1295567750930786,0.183472603559494,0.1771482173325857,0.0470253071851381
